證券代號,證券名稱,成交數量,成交筆數,成交金額,成交價,最後揭示買量,最後揭示賣量
0050,元大台灣50,7,7,1142750,163.25,0,18
0051,元大中型100,0,0,0,79.45,0,5
0052,富邦科技,1,1,165500,165.5,0,0
0053,元大電子,0,0,0,88.65,0,0
0055,元大MSCI金融,3,2,76170,25.39,1,0
0056,元大高股息,62,41,2479380,39.99,6,0
0057,富邦摩台,0,0,0,120.05,0,0
0061,元大寶滬深,0,0,0,16.94,4,0
006203,元大MSCI台灣,0,0,0,77.5,0,0
006204,永豐臺灣加權,0,0,0,103.7,0,0
006205,富邦上証,0,0,0,29.26,1,0
006206,元大上證50,0,0,0,27.94,0,0
006207,復華滬深,0,0,0,22.16,0,0
006208,富邦台50,4,4,381800,95.45,16,0
00631L,元大台灣50正2,3,3,618900,206.3,1,0
00632R,元大台灣50反1,336,88,1276800,3.8,710,0
00633L,富邦上証正2,3,2,98520,32.84,2962,0
00634R,富邦上証反1,0,0,0,4.71,0,2000
00635U,期元大S&P黃金,4,2,111880,27.97,7,0
00636,國泰中國A50,9,3,181260,20.14,0,3
00636K,國泰中國A50+U,0,0,0,6.29,0,0
00637L,元大滬深300正2,364,35,4772040,13.11,24399,0
00638R,元大滬深300反1,0,0,0,9.83,0,0
00639,富邦深100,0,0,0,10.54,0,0
00640L,富邦日本正2,0,0,0,58.15,22,0
00641R,富邦日本反1,0,0,0,6.43,3,0
00642U,期元大S&P石油,1,1,19130,19.13,0,4
00643,群益深証中小,0,0,0,11.57,0,0
00645,富邦日本,2,2,76260,38.13,0,4
00646,元大S&P500,0,0,0,52,8,0
00647L,元大S&P500正2,0,0,0,82.5,0,0
00648R,元大S&P500反1,0,0,0,5.75,0,0
00650L,復華香港正2,350,42,3132500,8.95,8495,0
00651R,復華香港反1,0,0,0,9.5,0,530
00652,富邦印度,0,0,0,37.5,0,3
00653L,富邦印度正2,0,0,0,59.45,1,0
00654R,富邦印度反1,0,0,0,6.73,9,0
00655L,國泰中國A50正2,0,0,0,22.55,3440,0
00656R,國泰中國A50反1,0,0,0,8.85,0,0
00657,國泰日經225,0,0,0,46.89,0,0
00657K,國泰日經225+U,0,0,0,14.56,0,0
00660,元大歐洲50,0,0,0,36.2,0,0
00661,元大日經225,0,0,0,51.1,0,0
00662,富邦NASDAQ,0,0,0,74.6,5,0
00663L,國泰臺灣加權正2,0,0,0,189.85,0,0
00664R,國泰臺灣加權反1,15,4,64650,4.31,10,0
00665L,富邦恒生國企正2,5,2,28850,5.77,11889,0
00666R,富邦恒生國企反1,0,0,0,16.06,0,300
00668,國泰美國道瓊,0,0,0,45.28,0,0
00668K,國泰美國道瓊+U,0,0,0,14.1,0,0
00669R,國泰美國道瓊反1,0,0,0,7.13,0,0
00670L,富邦NASDAQ正2,0,0,0,111,9,0
00671R,富邦NASDAQ反1,0,0,0,4.07,0,3
00673R,期元大S&P原油反1,0,0,0,7.02,193,0
00674R,期元大S&P黃金反1,0,0,0,10.58,3,0
00675L,富邦臺灣加權正2,3,3,248550,82.85,7,0
00676R,富邦臺灣加權反1,2,1,4780,2.39,35,0
00678,群益那斯達克生技,0,0,0,27.29,0,0
00680L,元大美債20正2,23,9,195960,8.52,146,0
00681R,元大美債20反1,0,0,0,20.58,0,0
00682U,期元大美元指數,0,0,0,21.02,0,0
00683L,期元大美元指正2,0,0,0,22.52,1,0
00684R,期元大美元指反1,0,0,0,15.49,0,0
00685L,群益臺灣加權正2,0,0,0,73.75,3,0
00686R,群益臺灣加權反1,15,2,38550,2.57,0,5
00688L,國泰20年美債正2,9,5,76230,8.47,50,0
00689R,國泰20年美債反1,0,0,0,21.31,0,0
00690,兆豐藍籌30,0,0,0,32.77,5,0
00692,富邦公司治理,14,6,545440,38.96,43,0
00693U,期街口S&P黃豆,0,0,0,23.96,2,0
00700,富邦恒生國企,0,0,0,11.75,0,0
00701,國泰股利精選30,0,0,0,26.78,0,3
00702,國泰標普低波高息,0,0,0,22.74,0,0
00703,台新MSCI中國,0,0,0,14.11,300,0
00706L,期元大S&P日圓正2,0,0,0,6.66,19,0
00707R,期元大S&P日圓反1,0,0,0,28.59,0,0
00708L,期元大S&P黃金正2,4,3,138680,34.67,0,4
00709,富邦歐洲,0,0,0,28.9,0,0
00710B,復華彭博非投等債,0,0,0,19.16,3,0
00711B,復華彭博新興債,0,0,0,16.19,0,0
00712,復華富時不動產,17,12,163540,9.62,29,0
00713,元大台灣高息低波,3,3,165750,55.25,9,0
00714,群益道瓊美國地產,0,0,0,19.67,0,0
00715L,期街口布蘭特正2,20,9,372200,18.61,0,14
00717,富邦美國特別股,0,0,0,16.12,6,0
00728,第一金工業30,4,4,124200,31.05,1,0
00730,富邦臺灣優質高息,0,0,0,23.01,1,0
00731,復華富時高息低波,0,0,0,76.05,0,0
00733,富邦臺灣中小,6,5,395700,65.95,16,0
00735,國泰臺韓科技,0,0,0,34.95,0,0
00736,國泰新興市場,0,0,0,21.81,2,0
00737,國泰AI+Robo,4,4,124120,31.03,0,6
00738U,期元大道瓊白銀,2,2,51740,25.87,5,0
00739,元大MSCI A股,0,0,0,20.75,0,0
00752,中信中國50,0,0,0,16.76,1,0
00753L,中信中國50正2,11,3,76230,6.93,3306,0
00757,統一FANG+,0,0,0,77.75,36,0
00762,元大全球AI,1,1,59500,59.5,1,0
00763U,期街口道瓊銅,1,1,26310,26.31,0,0
00770,國泰北美科技,1,1,42480,42.48,5,0
00771,元大US高息特別股,0,0,0,17.58,0,0
00775B,新光投等債15+,0,0,0,34.11,0,0
00783,富邦中証500,0,0,0,18.1,0,0
00830,國泰費城半導體,3,3,131220,43.74,3,0
00850,元大臺灣ESG永續,3,3,123270,41.09,6,0
00851,台新全球AI,0,0,0,42.28,0,0
00852L,國泰美國道瓊正2,0,0,0,24.06,1,0
00861,元大全球未來通訊,1,1,39390,39.39,0,0
00865B,國泰US短期公債,0,0,0,44.69,0,0
00875,國泰網路資安,0,0,0,32.62,0,1
00876,元大全球5G,0,0,0,38.66,0,0
00878,國泰永續高股息,28,27,637280,22.76,0,51
00881,國泰台灣5G+,19,6,417620,21.98,0,25
00882,中信中國高股息,17,7,175610,10.33,1009,0
00885,富邦越南,49,19,610050,12.45,0,103
00891,中信關鍵半導體,14,8,254800,18.2,17,0
00892,富邦台灣半導體,1,1,15760,15.76,0,72
00893,國泰智能電動車,3,1,60960,20.32,0,8
00894,中信小資高價30,3,3,58200,19.4,0,0
00895,富邦未來車,5,5,123200,24.64,1,0
00896,中信綠能及電動車,3,2,53640,17.88,7,0
00897,富邦基因免疫生技,0,0,0,7.85,6,0
00898,國泰基因免疫革命,0,0,0,7.06,2,0
00899,FT潔淨能源,0,0,0,16.86,0,0
00900,富邦特選高股息30,22,15,350460,15.93,2,0
00901,永豐智能車供應鏈,0,0,0,18.48,0,1
00902,中信電池及儲能,0,0,0,10.05,3,0
00903,富邦元宇宙,0,0,0,13.3,0,1
00904,新光臺灣半導體30,3,3,51540,17.18,0,151
00905,FT臺灣Smart,5,1,64400,12.88,53,0
00907,永豐優息存股,1,1,15160,15.16,0,16
00908,富邦入息REITs+,0,0,0,12.25,0,0
00909,國泰數位支付服務,0,0,0,28.35,36,0
00910,第一金太空衛星,0,0,0,16.84,0,0
00911,兆豐洲際半導體,0,0,0,26.97,0,0
00912,中信臺灣智慧50,0,0,0,17.62,0,0
00913,兆豐台灣晶圓製造,0,0,0,20.36,0,5
00915,凱基優選高股息30,16,11,408160,25.51,0,8
00916,國泰全球品牌50,1,1,21340,21.34,1,0
00917,中信特選金融,0,0,0,18.94,0,0
00918,大華優利高填息30,14,9,330260,23.59,0,42
00919,群益台灣精選高息,173,75,4359600,25.2,61,0
00920,富邦ESG綠色電力,0,0,0,14.08,0,0
00921,兆豐龍頭等權重,0,0,0,18.68,0,4
00922,國泰台灣領袖50,2,2,38900,19.45,0,14
00923,群益台ESG低碳50,0,0,0,20.27,1,0
00924,復華S&P500成長,0,0,0,20.5,0,1
00925,新光標普電動車,0,0,0,16.72,0,0
00926,凱基全球菁英55,0,0,0,20.4,0,0
00927,群益半導體收益,39,10,768690,19.71,45,0
00929,復華台灣科技優息,85,45,1779900,20.94,1862,0
00930,永豐ESG低碳高息,2,2,40880,20.44,0,6
00932,兆豐永續高息等權,0,0,0,17.91,2,0
00934,中信成長高股息,2,2,37980,18.99,0,1
00935,野村臺灣新科技50,1,1,20270,20.27,2,0
00936,台新永續高息中小,2,2,36260,18.13,2,0
00939,統一台灣高息動能,100,63,1478000,14.78,7,0
00940,元大台灣價值高息,420,115,4116000,9.8,539,0
00941,中信上游半導體,15,7,231450,15.43,276,0
01001T,土銀富邦R1,0,0,0,14.69,0,0
01002T,土銀國泰R1,0,0,0,17.15,0,0
01004T,土銀富邦R2,0,0,0,12.9,0,0
01007T,兆豐國泰R2,0,0,0,16.81,0,0
01009T,王道圓滿R1,0,0,0,8.01,0,0
01010T,京城樂富R1,0,0,0,10.06,0,0
020000,富邦特選蘋果N,0,0,0,11.5,0,0
020018,統一價值成長30N,0,0,0,22.57,0,0
02001L,富邦蘋果正二N,0,0,0,25.31,0,0
020020,元大台股領航N,0,0,0,10.36,0,0
020028,元大特選電動車N,0,0,0,8.86,0,0
020029,元大ESG高股息N,0,0,0,8.3,0,0
020030,統一智慧電動車N,0,0,0,5.82,0,0
020031,統一IC設計臺灣N,0,0,0,6.19,0,0
020032,元大綠能N,0,0,0,6.36,1,0
020034,元大IC設計N,0,0,0,7.98,0,0
020037,元大金融高股息N,0,0,0,6.01,0,0
020038,元大ESG配息N,0,0,0,7.17,0,0
020039,元大加權N,0,0,0,6.24,0,1
03012X,元展12,0,0,0,21.3,0,0
03016T,元債2X元大35售01,0,0,0,0.45,0,0
03017X,元展17,0,0,0,12.5,0,0
03047X,元展44,0,0,0,29.4,0,0
03049T,金像電統一35售08,0,0,0,0.1,0,0
03052X,元展49,0,0,0,16.3,0,0
03056T,技嘉群益38售04,0,0,0,0.57,0,0
030651,台積電凱基3B購01,0,0,0,11.5,0,0
031255,台積電凱基3C購01,0,0,0,6.75,0,0
031256,台積電凱基3C購02,0,0,0,6.1,0,0
03174T,臺指2X元大39售01,0,0,0,0.05,0,0
032018,鴻海元富39購01,0,0,0,2.64,0,0
03211T,台積電第一37售01,0,0,0,0.05,0,0
03238T,中華群益35售01,0,0,0,0.02,0,0
03243T,緯穎群益39售01,0,0,0,0.64,0,0
03285T,滬深2X元大36售03,0,0,0,0.88,0,0
03312T,臺股指元大36售21,0,0,0,0.01,0,0
033275,台積電統一37購02,0,0,0,4.28,0,0
033276,長榮統一37購01,0,0,0,2.63,0,0
033714,鴻海統一37購02,0,0,0,2.91,0,0
03395T,臺股指凱基39售01,0,0,0,0.08,0,0
03407T,定穎控元富36售03,0,0,0,0.12,0,0
03415T,臺股指中信39售01,0,0,0,0.02,0,0
03440T,臺股指群益3B售02,0,0,0,0.11,0,0
03464T,華通群益39售03,0,0,0,0.24,0,0
034712,台積電凱基36購01,0,0,0,3.88,0,0
03481T,技嘉永豐35售03,0,0,0,0.19,0,0
035015,聯電統一38購01,0,0,0,0.14,0,0
035017,鴻海統一38購01,0,0,0,2.35,0,0
035020,台積電統一38購02,0,0,0,1.5,0,1
03509T,台灣50元大36售09,0,0,0,0.03,0,0
03540T,臺股指凱基39售04,0,0,0,0.09,0,0
035467,鴻海統一38購02,0,0,0,1.94,0,0
035468,台積電統一35購02,0,0,0,2.72,0,0
03573T,欣興凱基39售03,0,0,0,0.57,0,0
03596T,台積電兆豐38售01,0,0,0,0.03,0,0
03597T,金像電永豐36售03,0,0,0,0.31,0,0
03607T,萬海國票35售01,0,0,0,0.32,0,0
03612T,元債2X凱基39售02,0,0,0,0.52,0,0
036232,台積電凱基3C購03,0,0,0,7.05,0,0
03630T,奇鋐國泰36售02,0,0,0,0.01,0,0
03632B,臺股指元大39熊30,0,0,0,0.85,0,0
03633B,臺股指凱基3C熊06,0,0,0,1.35,0,0
03634B,臺股指元大39熊31,0,0,0,1.12,0,0
03635B,臺股指凱基3A熊47,0,0,0,1.26,0,0
03636B,臺股指元大39熊32,0,0,0,1.23,0,0
03637B,臺股指凱基43熊03,0,0,0,1.81,0,0
03638B,臺股指元大3B熊08,0,0,0,1.17,0,0
03639B,臺股指元大42熊01,0,0,0,1.54,0,0
03660T,SGBR2X國票35售01,0,0,0,0.46,0,0
03661T,金像電國票35售01,0,0,0,0.13,0,0
03662T,台光電國票35售01,0,0,0,0.25,0,0
03673T,技嘉元富3A售01,0,0,0,0.8,0,0
03676T,SGBR2X元大35售02,0,0,0,0.25,0,0
037193,台積電元富42購01,0,0,0,5.8,0,0
03753T,光罩國票35售01,0,0,0,0.09,0,0
03754T,友達凱基36售01,0,0,0,0.08,0,0
03791T,創意兆豐34售03,0,0,0,0.74,0,0
03793T,矽統元大34售20,0,0,0,0.13,0,0
03794T,矽統元大34售21,0,0,0,0.02,0,0
03800T,矽統群益36售03,0,0,0,0.45,0,0
03801T,矽統群益38售01,0,0,0,1.4,0,0
038157,創意統一35購01,0,0,0,0.08,0,0
03818T,臺股指元富39售03,0,0,0,0.1,0,0
03821T,創意統一36售03,0,0,0,1.11,0,0
03836T,臺股指元大36售47,0,0,0,0.03,0,0
03843T,中砂群益36售02,0,0,0,0.01,0,0
038523,聯發科凱基35購03,0,0,0,2.79,0,0
038590,裕隆統一35購01,0,0,0,0.03,0,0
03868T,臺股指元大39售02,0,0,0,0.07,0,0
038702,玉晶光統一34購01,0,0,0,0.9,0,0
038706,祥碩統一35購01,0,0,0,0.9,0,0
03885C,大立光富邦35牛01,0,0,0,2.04,0,0
03897T,智邦國票35售02,0,0,0,0.69,0,0
03902T,川湖群益3A售02,0,0,0,1.17,0,0
03907T,臺股指群益36售24,0,0,0,0.01,0,0
03908C,臺股指凱基3A牛02,0,0,0,6.8,0,0
03913C,元債2X凱基3A牛02,0,0,0,2.28,0,0
03915T,材料國票35售04,0,0,0,1.06,0,0
03922C,臺股指元大3B牛01,0,0,0,3.43,0,0
03924C,臺股指凱基3A牛43,0,0,0,4.88,0,0
03925T,滬深2X群益37售01,0,0,0,0.63,0,0
03926C,元債2X元大42牛02,0,0,0,1.57,0,0
03927C,臺股指凱基45牛02,0,0,0,4.24,0,0
03928C,臺股指凱基3A牛53,0,0,0,3.46,0,0
03929C,臺股指元大3B牛03,0,0,0,2.57,0,0
03930C,臺股指元大3C牛05,0,0,0,1.89,0,0
03953T,台積電富邦38售04,0,0,0,0.06,0,0
03954T,聯發科富邦38售04,0,0,0,0.14,0,0
03955T,創意富邦34售02,0,0,0,0.56,0,0
03962T,台積電凱基46售02,0,0,0,0.21,0,0
03980T,材料永豐35售05,0,0,0,0.81,0,0
03981T,元債2X群益38售01,0,0,0,0.16,0,0
03991T,材料國票35售06,0,0,0,1.02,0,0
03995T,臺股指元大35售69,0,0,0,0.22,0,0
03999T,A50正2群益36售01,0,0,0,0.17,0,0
04002T,聯電群益39售01,0,0,0,0.19,0,0
040041,創意統一34購01,0,0,0,0.03,0,0
04011T,台灣50中信38售01,0,0,0,0.22,0,0
04022T,創意凱基35售07,0,0,0,0.79,0,0
04052T,台積電凱基46售03,0,0,0,0.64,0,0
04057T,臺股指凱基3A售11,0,0,0,0.17,0,0
040717,世芯統一36購01,0,0,0,4.23,0,0
040718,世芯統一36購02,0,0,0,4.35,0,0
04071T,臺股指中信39售07,0,0,0,0.02,0,0
04093T,臺股指凱基3A售13,0,0,0,0.07,0,0
04097T,緯創中信37售04,0,0,0,0.16,0,0
04098T,緯創永豐35售01,0,0,0,0.18,0,0
04102T,緯創統一37售03,0,0,0,0.08,0,0
04122T,緯創群益37售02,0,0,0,0.05,0,0
04123T,緯創群益3A售01,0,0,0,0.74,0,0
04124T,創意群益34售19,0,0,0,0.44,0,0
04129T,緯創元富3A售02,0,0,0,0.19,0,0
04144T,道瓊2X國票39售01,0,0,0,0.1,0,0
041459,世芯統一34購02,0,0,0,2.29,0,0
04158T,臺股指凱基3B售02,0,0,0,0.12,0,0
04165T,晶豪科國票36售01,0,0,0,0.59,0,0
04167P,台積電凱基3A售02,0,0,0,0.05,6,0
04167T,文曄國票35售03,0,0,0,0.04,0,0
04174T,威盛元富3B售02,0,0,0,1.26,0,0
04176T,華城凱基37售01,0,0,0,0.01,0,0
04199T,臺股指群益36售25,0,0,0,0.01,0,0
042042,鴻海第一3A購01,0,0,0,2.21,0,0
042121,友達統一34購01,0,0,0,0.03,0,0
042126,緯創統一34購01,0,0,0,6.95,0,0
042128,群創統一34購01,0,0,0,0.02,0,0
042132,緯穎統一34購01,0,0,0,1.69,0,0
04222T,大立光富邦3B售01,0,0,0,0.19,0,0
04225T,英業達永豐36售02,0,0,0,0.3,0,0
042358,大亞統一34購01,0,0,0,1.16,0,0
04250T,金像電群益38售03,0,0,0,0.12,0,0
04258T,威盛元大35售10,0,0,0,0.01,0,0
042601,鉅祥統一34購01,0,0,0,0.32,0,0
04260T,大立光元大35售14,0,0,0,0.11,0,0
04274T,威盛凱基39售02,0,0,0,1.13,0,0
04278T,威盛國票36售06,0,0,0,0.24,0,0
04279T,義隆國票35售03,0,0,0,0.07,0,0
042942,台積電元富44購01,0,0,0,2.62,10,0
04295T,華孚元大35售04,0,0,0,0.71,0,0
04308T,威盛統一39售07,0,0,0,0.67,0,0
04315T,威盛中信39售01,0,0,0,0.58,0,0
04316T,力積電中信35售02,0,0,0,0.09,0,0
043212,創意統一34購02,0,0,0,1.15,0,0
04336T,聯茂群益35售01,0,0,0,0.04,0,0
043399,台積電統一35購03,0,0,0,2.79,0,0
043437,中興電富邦35購01,0,0,0,5.1,0,0
04344T,敦泰凱基35售02,0,0,0,0.06,0,0
04348T,緯穎元富38售03,0,0,0,0.1,0,0
043538,台積電元富45購01,0,0,0,4.96,0,0
04364T,緯創中信3B售01,0,0,0,0.74,0,0
043655,華城統一35購01,0,0,0,25.9,0,0
043656,聯發科統一35購03,0,0,0,5,0,0
043723,創意元富45購01,0,0,0,3.48,0,0
043742,緯創凱基35購02,0,0,0,12.8,0,0
043814,士電統一35購01,0,0,0,2.7,0,0
043817,鴻海統一35購03,0,0,0,2.4,0,0
043856,聯發科第一37購01,0,0,0,3.76,0,0
043892,美時凱基35購01,0,0,0,0.2,0,0
043895,鴻海凱基35購01,0,0,0,3.47,0,0
04392T,台積電永豐35售01,0,0,0,0.01,0,0
044020,聯電第一35購01,0,0,0,0.36,0,0
044069,鴻海元大35購01,0,0,0,4.15,0,0
044080,大立光元大35購01,0,0,0,0.86,0,0
04409T,勤誠群益39售02,0,0,0,0.51,0,0
044174,欣興第一35購02,0,0,0,0.82,0,0
04420T,材料元大35售08,0,0,0,0.46,0,0
044225,鴻海元大35購02,0,0,0,3.24,0,0
044228,台積電元大35購02,0,0,0,12.9,0,0
04423T,智原永豐35售01,0,0,0,0.26,0,0
04424T,臺股指永豐38售03,0,0,0,0.05,0,2
04427T,穎崴群益35售02,0,0,0,0.46,0,0
04430T,智原統一39售04,0,0,0,0.31,0,0
04431T,智原統一39售05,0,0,0,0.39,0,0
04432T,智原統一39售06,0,0,0,0.44,0,0
044373,台積電元大35購03,0,0,0,13.2,0,0
044380,大立光元大35購02,0,0,0,0.79,0,0
044393,士電統一35購02,0,0,0,2.51,0,0
044397,欣興統一35購01,0,0,0,0.74,0,0
04439T,材料凱基35售15,0,0,0,0.51,0,0
044449,大亞兆豐34購01,0,0,0,3.95,0,0
04446T,金像電國票36售02,0,0,0,0.2,0,0
04448T,智原國票36售02,0,0,0,0.14,0,0
044512,大亞統一35購01,0,0,0,1.04,0,0
044541,大立光元大35購03,0,0,0,0.46,0,0
044542,欣興元大35購01,0,0,0,0.46,0,0
04463T,滬深2X永豐35售01,0,0,0,0.35,0,0
04470T,緯創凱基3B售04,0,0,0,0.73,0,0
04472T,愛普凱基35售05,0,0,0,0.46,0,0
04476T,建準群益35售03,0,0,0,0.02,0,0
044791,大立光元大35購04,0,0,0,0.12,0,0
044794,欣興元大35購02,0,0,0,0.55,0,0
044824,T50反1兆豐38購01,0,0,0,0.08,0,0
04483T,晶豪科國票36售03,0,0,0,0.64,0,0
04485T,美債2X元大35售02,0,0,0,0.14,0,0
044871,聯電元富34購01,0,0,0,1.7,0,0
044873,台積電元富38購01,0,0,0,6.6,0,0
04491T,智原元大35售09,0,0,0,0.46,0,0
044948,大亞統一34購02,0,0,0,0.97,0,0
044949,漢翔統一34購01,0,0,0,0.07,0,0
04494T,台積電統一39售03,0,0,0,0.03,0,0
044966,臻鼎元富35購01,0,0,0,2.51,0,0
044970,台積電麥證36購01,0,0,0,22.7,0,0
04499T,中興電凱基35售04,0,0,0,0.01,0,0
045009,群創富邦35購01,0,0,0,0.07,0,0
045034,臺股指群益34購05,0,0,0,1.09,0,0
04503T,飛宏國票35售03,0,0,0,0.77,0,0
04504T,愛普國票37售01,0,0,0,0.48,0,0
045084,大立光凱基35購02,0,0,0,0.7,0,0
045102,中鴻兆豐34購01,0,0,0,0.53,0,0
045137,欣興凱基35購01,0,0,0,0.7,0,0
045172,欣興元大35購03,0,0,0,0.61,0,0
045180,鴻海統一3B購01,0,0,0,1.68,0,0
045184,長榮統一35購04,0,0,0,4.11,0,0
045191,碩天統一36購01,0,0,0,0.8,0,0
045195,穎崴統一34購01,0,0,0,0.01,0,0
045322,欣興元大35購04,0,0,0,0.26,0,0
045356,臺股指群益36購02,0,0,0,7,0,0
04535T,台積電凱基43售04,0,0,0,0.85,0,0
045403,光罩兆豐34購01,0,0,0,0.07,0,0
045405,欣興兆豐34購01,0,0,0,1.47,0,0
045489,大立光元大35購05,0,0,0,0.13,0,0
04551T,滬深2X凱基37售04,0,0,0,0.39,0,0
04554T,智邦凱基35售04,0,0,0,0.42,0,0
04557T,威盛統一39售11,0,0,0,0.98,0,0
04558T,台積電中信3B售02,0,0,0,0.16,0,0
04560T,智原中信35售02,0,0,0,0.16,0,0
045613,士電元富35購01,0,0,0,14.7,0,0
04561T,臺股指中信39售10,0,0,0,0.04,0,0
04570T,智原元大35售13,0,0,0,0.5,0,0
04571T,祥碩元大35售08,0,0,0,0.02,0,0
04574T,臺股指元大36售70,0,0,0,0.05,0,0
04582T,創意第一35售01,0,0,0,0.75,0,0
045848,世芯統一34購03,0,0,0,2.41,0,0
045915,欣興凱基35購02,0,0,0,0.34,0,0
045990,台積電群益35購01,0,0,0,12.2,0,0
04601T,威盛群益35售32,0,0,0,1.26,0,0
04602T,亞航群益35售02,0,0,0,0.13,0,0
04603T,晶豪科群益35售02,0,0,0,0.66,0,0
04604T,矽力群益35售03,0,0,0,0.54,0,0
046079,中興電統一35購01,0,0,0,1.12,0,0
04607T,臺股指中信39售11,0,0,0,0.11,0,0
046082,世芯統一35購01,0,0,0,1.6,0,0
046083,康舒統一35購01,0,0,0,0.02,0,0
04609T,台積電凱基3B售03,0,0,0,0.6,0,0
04610T,威盛凱基35售15,0,0,0,1.21,0,0
04618T,大立光元富35售01,0,0,0,0.21,0,0
04622T,華城元大35售14,0,0,0,0.01,0,0
04625T,友達元大35售03,0,0,0,0.08,0,0
046261,創意凱基35購01,0,0,0,0.04,0,0
046267,臺股指凱基35購02,0,0,0,1.35,0,0
046284,元金2X富邦34購01,0,0,0,0.4,0,0
046292,技嘉統一34購02,0,0,0,1.7,0,0
046300,玉晶光統一35購01,0,0,0,0.52,0,0
046301,乙盛統一35購01,0,0,0,0.01,0,0
046307,鴻海中信35購01,0,0,0,3.14,0,0
046320,東元元富35購01,0,0,0,0.66,0,0
046326,世芯元富35購01,0,0,0,4.4,0,0
04632T,臺股指元大38售05,0,0,0,0.08,0,0
04633T,臺股指元大38售06,0,0,0,0.08,0,0
04634T,臺股指元大38售07,0,0,0,0.1,0,0
04642T,矽力群益35售05,0,0,0,1.18,0,0
046499,台積電群益35購02,0,0,0,8.1,0,0
04649T,智原富邦35售04,0,0,0,0.37,0,0
04650T,滬深2X元大36售07,0,0,0,0.4,0,0
046519,臺股指群益37購01,0,0,0,8.6,0,0
04652T,威盛元大35售24,0,0,0,0.71,0,0
046552,台灣50中信35購03,0,0,0,0.93,0,0
046627,台積電凱基3C購04,0,0,0,5.65,0,0
046669,緯創統一35購02,0,0,0,1.69,0,0
04666T,南電凱基35售04,0,0,0,1.19,0,0
046670,緯創統一35購03,0,0,0,2.18,0,0
04674T,晶心科群益35售03,0,0,0,0.9,0,0
046756,士電統一35購04,0,0,0,6.2,0,0
046764,三陽統一36購01,0,0,0,0.08,0,0
04677T,聯電凱基39售04,0,0,0,0.37,0,0
046786,立積統一36購01,0,0,0,0.17,0,0
04678T,金像電凱基35售03,0,0,0,0.29,0,0
04683T,創意國泰37售02,0,0,0,3.2,0,0
04686T,愛普元富35售05,0,0,0,0.91,0,0
04687T,台積電台新37售01,0,0,0,0.06,0,0
04691T,欣興元大35售13,0,0,0,0.45,0,0
046967,中興電兆豐35購01,0,0,0,3.33,0,1
046973,欣興兆豐35購01,0,0,0,0.47,0,0
04697T,材料凱基36售08,0,0,0,0.48,0,0
04698T,勤誠凱基35售07,0,0,0,0.36,0,0
047031,金像電統一35購02,0,0,0,2.66,0,0
047033,友達統一36購01,0,0,0,0.24,0,0
047038,群創統一36購01,0,0,0,0.19,0,0
047068,台積電元富36購01,0,0,0,5.55,0,0
04706T,FBNQ2X元大36售01,0,0,0,0.11,0,0
04707T,聯詠元大35售05,0,0,0,0.17,0,0
04709T,T50正2群益35售06,0,0,0,0.01,0,0
04715T,欣興凱基35售13,0,0,0,0.25,0,0
04720T,國泰金元富35售01,0,0,0,0.17,0,0
04722T,T50正2元大37售01,0,0,0,0.11,0,0
04723T,T50正2元大37售02,0,0,0,0.08,0,0
04724T,智邦永豐36售02,0,0,0,1.07,0,0
047251,美時統一36購01,0,0,0,0.06,0,0
047252,新光鋼統一35購01,0,0,0,0.52,0,0
047255,鴻海統一36購02,0,0,0,2.42,0,0
047256,鴻海統一3C購01,0,0,0,1.6,0,0
047266,晶豪科統一36購01,0,0,0,0.1,0,0
047273,日月光統一36購01,0,0,0,1.83,0,0
04734T,台灣50中信3B售01,0,0,0,0.14,0,0
047375,士電統一35購05,0,0,0,2,0,0
04737T,神基凱基35售05,0,0,0,0.2,0,0
047383,技嘉統一35購02,0,0,0,1.42,0,0
04739T,香港2X國票36售02,0,0,0,1.59,0,0
04740T,中興電群益37售03,0,0,0,0.07,0,0
04741T,康舒群益35售02,0,0,0,0.58,0,0
04742T,全新元富35售01,0,0,0,0.64,0,0
04743T,滬深2X元大38售02,0,0,0,0.41,0,0
04746T,華孚元大35售07,0,0,0,0.37,0,0
04747T,愛普元大35售06,0,0,0,1.33,0,0
04750T,台積電中信39售01,0,0,0,0.05,0,0
04754T,聯電凱基35售09,0,0,0,0.5,0,0
047562,台灣50兆豐36購01,0,0,0,2.82,0,0
047564,東元兆豐35購01,0,0,0,0.36,0,0
047565,光寶科兆豐35購01,0,0,0,1.43,0,0
04758T,臺股指富邦3B售02,0,0,0,0.12,0,0
047632,廣宇統一36購01,0,0,0,0.09,0,0
047649,全訊統一35購01,0,0,0,0.14,0,0
047652,緯穎統一35購01,0,0,0,2.14,0,0
04766T,台積電國票35售05,0,0,0,0.01,0,0
047682,台勝科統一36購01,0,0,0,0.16,0,0
047713,臺股指凱基36購01,0,0,0,1.2,0,0
04774T,臺股指國票37售05,0,0,0,0.17,0,0
047760,長榮航元大36購01,0,0,0,0.17,0,0
047829,台光電統一35購01,0,0,0,1.99,0,0
047834,日月光統一36購02,0,0,0,0.97,0,0
04783T,大立光凱基35售12,0,0,0,0.28,0,0
04784T,台灣50元富39售02,0,0,0,0.09,0,0
04785T,T50正2國票37售05,0,0,0,0.1,0,0
04786T,華城國票37售02,0,0,0,0.03,0,0
04788T,晶豪科國票37售03,0,0,0,1.19,0,0
