證券代號,證券名稱,成交數量,成交筆數,成交金額,成交價,最後揭示買量,最後揭示賣量
086786,中砂凱基39購06,0,0,0,0.73,0,0
086787,華電凱基3A購01,0,0,0,0.72,0,0
086788,華電凱基3A購02,0,0,0,0.88,0,0
086789,華新凱基39購01,0,0,0,1.02,0,0
086790,華新凱基39購02,0,0,0,1.13,0,0
086791,華榮凱基39購02,0,0,0,2.32,0,0
086792,大亞凱基43購01,0,0,0,1.2,0,0
086793,美時凱基3C購01,0,0,0,0.89,0,0
086795,第一銅凱基39購01,0,0,0,2.9,0,0
086798,台達電凱基39購06,0,0,0,0.65,0,0
086799,鴻海凱基3C購01,0,0,0,0.78,0,0
086800,鴻海凱基3C購02,0,0,0,0.74,0,0
086801,台積電凱基4C購01,0,0,0,2.78,0,0
086802,順德凱基39購01,0,0,0,1.13,0,0
086803,佳世達凱基39購06,0,0,0,0.73,0,0
086805,凱美凱基3C購01,0,0,0,1.27,0,0
086806,技嘉凱基39購18,0,0,0,1.26,0,0
086807,群光凱基39購06,0,0,0,0.94,0,0
086809,可成凱基39購06,0,0,0,0.82,0,0
086810,長榮凱基3C購04,0,0,0,0.8,0,0
086811,長榮太凱基3C購01,0,0,0,0.78,0,0
086812,永豐金凱基39購01,0,0,0,0.89,0,0
086814,建漢凱基3C購01,0,0,0,0.65,0,0
086815,玉晶光凱基39購07,0,0,0,0.78,0,0
086817,牧德凱基39購06,0,0,0,0.74,0,0
086819,上緯控凱基3C購02,0,0,0,0.75,0,0
086820,定穎控凱基39購05,0,0,0,1.41,0,0
086821,材料凱基3C購02,0,0,0,0.94,0,0
086822,南寶凱基3C購01,0,0,0,0.87,0,0
086826,工信凱基3C購01,0,0,0,1.01,0,0
086827,樺漢凱基39購09,0,0,0,0.93,0,0
086828,迅得凱基3C購01,0,0,0,1.01,0,0
086830,至上凱基39購03,0,0,0,1.45,0,0
086831,巨大凱基39購04,0,0,0,0.69,0,0
086832,世紀鋼凱基3A購04,0,0,0,0.63,0,0
086833,臺股指凱基3C購11,0,0,0,0.93,0,0
086834,東陽統一43購06,0,0,0,0.66,0,0
086835,華新統一43購01,0,0,0,0.69,0,0
086836,華榮統一43購02,0,0,0,0.95,0,0
