,位址,橋名
95,屏東縣來義鄉南和村南和288號(屏東警局潮洲分局南和派出所),南和                          
96,屏東縣三地門鄉口社村信義巷58號(口社國小),古夏                          
97,屏東縣牡丹鄉牡丹村,牡丹                          
98,屏東縣牡丹鄉石門村牡丹鄉公所,石門                          
99,屏東縣霧臺鄉阿禮村,阿禮                          
100,屏東縣瑪家鄉瑪家村內埔分局,新瑪家                        
101,屏東縣瑪家鄉北葉村風景巷85號(瑪家鄉公所),三地門                        
102,屏東縣泰武鄉泰武村泰武段435號地號,泰武(2)                       
103,屏東縣獅子鄉草埔村,壽卡                          
104,屏東縣春日鄉力里村,大漢山                        
105,屏東縣春日鄉士文村65號(古華國小士文分校),士文                          
106,屏東縣潮州鎮泗林村開元2巷1號泗林國小,泗林                          
107,臺東縣延平鄉明野路16號(武陵國小),武陵                          
108,臺東縣卑南鄉溫泉村(泓泉度假飯店斜坡上方),知本(5)                       
109,臺東縣長濱鄉忠勇村五鄰58號(忠勇國小),忠勇                          
110,臺東縣長濱鄉樟原村三間南溪5號(南溪國小後側),樟原(1)                       
111,臺東縣達仁鄉新化村101號(新化派出所),紹家                          
112,臺東縣海端鄉霧鹿村2鄰12號(霧鹿國小),霧鹿                          
113,臺東縣海端鄉海瑞村新武呂5號(初來國小新武分校),新武(3)                       
114,臺東縣海端鄉利稻村(向陽遊樂區行政中心),向陽(2)                       
115,臺東縣卑南鄉溫泉村,天鳥                          
116,臺東縣卑南鄉東興村(大南發電所進水口對面),南鵝                          
117,臺東縣延平鄉紅葉村紅谷路2號 (卑南上圳管理房頂),上里                          
118,臺東縣臺東市寶桑路24號(第八河川局),台東(7)                       
119,臺東縣關山鎮電光里中興路93號(電光國小),電光                          
120,臺東縣東河鄉北源村順那路21號(北源國小),北源                          
121,花蓮縣秀林鄉銅門村56之2號(銅門活動中心)                                         ,銅門                          
122,花蓮縣卓溪鄉卓清村(卓樂國小)旁的停場場,卓麓(4)                       
123,花蓮縣卓溪鄉立山村山里65號,立山                          
124,花蓮縣卓溪鄉玉里林道林務局屋舍旁,苗圃                          
125,花蓮縣新城鄉北埔村光復路485號(水利會新城工作站),北埔                          
126,花蓮縣萬榮鄉西林村23號,西林                          
127,花蓮縣卓溪鄉卓清村哇拉鼻,哇拉鼻                        
128,花蓮縣萬榮鄉馬遠村大坪(臨時產業道路),大坪                          
129,花蓮縣萬榮鄉馬錫山山區(林務局林道16公里),馬太安                        
130,花蓮縣萬榮鄉西林村,新東礦                        
131,花蓮縣富里鄉明里村2鄰明里24號(老村長家),明里                          
132,花蓮縣豐濱鄉豐濱村光豐路51號(自來水豐濱營運所),豐濱                          
133,花蓮縣萬榮鄉萬榮村(萬榮林道19.6K),新大觀(2)                     
134,花蓮縣萬榮鄉萬榮村(萬榮林道34.6K),新高嶺(2)                     
135,花蓮縣富里鄉竹田村25鄰雲閩36號(彭大媽客家食堂),六十石山                      
136,花蓮縣卓溪鄉新生段14號(舊清水管訓班大隊部),卓清                          
137,花蓮縣光復鄉東富路六十號(東富國小),東富                          
138,宜蘭縣大同鄉太平村(土場檢查站屋頂),土場(1)                       
139,宜蘭縣大同鄉英土村(梵梵派出所),梵梵(2)                       
140,宜蘭縣大同鄉四季村(留茂安派出所),留茂安                        
141,宜蘭縣大同鄉南山村(南山派出所),南山                          
142,宜蘭縣冬山鄉中山村中山路126號,新寮(1)                       
143,宜蘭縣冬山鄉冬山村(水利會冬山工作站),冬山                          
144,宜蘭縣羅東鎮北成里(五結堤防堤頂),新北城                        
145,宜蘭縣南澳鄉澳花村(澳花國小),大濁水                        
146,宜蘭縣南澳鄉金洋村(村辦公室屋頂),樟林                          
147,宜蘭縣礁溪鄉大忠村大忠路,五峰                          
148,宜蘭縣南澳鄉武塔村新溪路4號(屋頂),武塔                          
149,宜蘭縣大同鄉太平村太平巷,太平山(1)                     
150,宜蘭縣大同鄉四季村和勳巷1號(四季國小),四季                          
151,宜蘭縣大同鄉三星路8段501巷156號之1(清水地熱發電廠),清水                          
152,高雄市桃源區高中里44號,高中                          
153,高雄市桃園區,高中(1)                       
154,高雄市六龜區光復路40號,六龜(4)                       
155,高雄市桃源區寶山里籐枝(寶山國小籐枝分校-舊),藤枝(2)                       
156,高雄市桃源區梅山巷55號(梅山青年活動中心),梅山(2)                       
157,高雄市桃源區梅山里(林務局天池工作站),天池                          
158,高雄市三民區民族里鞍山巷59號(民族國小),民族                          
159,澎湖縣望安鄉東安村73之16號(望安鄉公所宿舍樓頂),望安                          
160,桃園市龍潭區佳安里佳安路2號(北區水資源局旁),十一份                        
161,石門水庫運轉中心內,石門                          
162,桃園市復興區澤仁里,復興                          
163,桃園市復興區華峻里,巴陵                          
164,桃園市復興區高義里,高義                          
165,桃園市復興區華峻里,嘎拉賀                        
166,桃園市復興區長興里,長興                          
167,桃園市復興區羅浮里,霞雲                          
168,桃園市復興區三光里,三光                          
169,新竹縣尖石鄉宇老村1鄰4號,鞍部                          
170,新竹縣尖石鄉秀巒村(秀巒國小斜對面),秀巒                          
171,新竹縣尖石鄉玉峰村(玉峰國小對面),玉峰                          
172,新竹縣尖石鄉養老村,白石                          
173,新竹縣尖石鄉新光村,鎮西堡                        
174,新竹縣尖石鄉秀巒村,西丘斯山                      
175,宜蘭縣大同鄉棲蘭山池端,池端                          
176,臺南市楠西區密枝村70號,曾文新村                      
177,嘉義縣阿里山鄉里佳村,里佳                          
178,嘉義縣阿里山鄉自忠村水山,水山                          
179,嘉義縣阿里山鄉樂野村(福山),樂野                          
180,嘉義縣大埔鄉永樂村,馬頭山                        
181,607嘉義縣大埔鄉大埔觀景台,三角南山                      
182,嘉義縣番路鄉公田大山,龍美                          
183,高雄市田寮區大新路2號,牛稠埔                        
184,屏東縣牡丹鄉石門村,汝仍                          
185,高雄市燕巢區工程路1號,竹仔腳                        
186,屏東縣牡丹鄉石門村,牡丹                          
187,嘉義縣大埔鄉大棟山,大棟山                        
188,高雄市那瑪夏區民權里表湖,表湖                          
189,新北市瑞芳區魚寮路底三貂嶺火車站旁,三貂嶺                        
190,新北市汐止區中興路社后橋,社后橋                        
191,新北市三峽區竹坑路底,熊空山                        
192,新北市雙溪區上林里內平林60號,上林國小                      
193,新北市貢寮區吉林里內寮街55號,吉林國小                      
194,新竹縣寶山鄉寶新路二段475號,新城國小                      
195,新竹市香山區內湖路109號,內湖國小                      
196,新竹市北區崧嶺路12巷38號,成德中學                      
197,臺中市和平區東崎路二段4號,雙崎(2)                       
198,南投縣水里鄉頂崁村苗圃巷2-1號,龍神橋                        
